CODE,NAME,DIMENSIONS( MM),COLOUR,WEIGHT / Pcs ( KG),NO OF PIECES PER SQUARE FOOT,NO OF PIECES IN BOX,SQFT IN BOX
12001,EMBOSS,73 X 220,WHITE,0.53,5.88,20,3.4
12002,EMBOSS,74 X 220,RED,0.48,5.88,20,3.4
12003,EMBOSS,75 X 220,GREY,0.5,5.88,20,3.4
12004,EMBOSS,76 X 220,ORANGE,0.52,5.88,20,3.4
12005,EMBOSS,77 X 220,BROWN,0.55,5.88,20,3.4
12006,EMBOSS,78 X 220,BLACK,0.48,5.88,20,3.4
12007,EMBOSS,79 X 220,YELLOW,0.53,5.88,20,3.4
12011,OVATE,145 X 145,WHITE,0.67,4.42,20,4.52
12012,OVATE,146 X 145,RED,0.77,4.42,20,4.52
12013,OVATE,147 X 145,GREY,0.81,4.42,20,4.52
12014,OVATE,148 X 145,ORANGE,0.72,4.42,20,4.52
12015,OVATE,149 X 145,BROWN,0.76,4.42,20,4.52
12016,OVATE,150 X 145,YELLOW,0.78,4.42,20,4.52
12021,TERO,145 X 145,WHITE,0.62,4.42,20,4.52
12022,TERO,146 X 145,RED,0.67,4.42,20,4.52
12023,TERO,147 X 145,GREY,0.65,4.42,20,4.52
12024,TERO,148 X 145,ORANGE,0.64,4.42,20,4.52
12025,TERO,149 X 145,BROWN,0.68,4.42,20,4.52
12026,TERO,150 X 145,BLACK,0.61,4.42,20,4.52
12027,TERO,151 X 145,YELLOW,0.63,4.42,20,4.52
12031,RALSE,145 X 145,WHITE,0.8,4.42,20,4.52
12032,RALSE,146 X 145,RED,0.76,4.42,20,4.52
12033,RALSE,147 X 145,GREY,0.8,4.42,20,4.52
12034,RALSE,148 X 145,ORANGE,0.74,4.42,20,4.52
12041,COVCAVE,146 X 168,WHITE,0.51,5.03,20,3.97
12042,COVCAVE,147 X 168,RED,0.54,5.03,20,3.97
12043,COVCAVE,148 X 168,GREY,0.54,5.03,20,3.97
12044,COVCAVE,149 X 168,ORANGE,0.5,5.03,20,3.97
12051,PRISM,146 X 168,WHITE,0.67,5.03,20,3.97
12052,PRISM,147 X 168,RED,0.6,5.03,20,3.97
12053,PRISM,148 X 168,GREY,0.65,5.03,20,3.97
12054,PRISM,149 X 168,ORANGE,0.57,5.03,20,3.97
12055,PRISM,150 X 168,BROWN,0.62,5.03,20,3.97
12056,PRISM,151 X 168,BLACK,0.58,5.03,20,3.97
12061,PETAL,146 X 168,WHITE,0.73,5.03,20,3.97
12062,PETAL,147 X 168,RED,0.78,5.03,20,3.97
12063,PETAL,148 X 168,GREY,0.75,5.03,20,3.97
12064,PETAL,149 X 168,ORANGE,0.69,5.03,20,3.97
12065,PETAL,150 X 168,BROWN,0.71,5.03,20,3.97
12066,PETAL,151 X 168,BLACK,0.65,5.03,20,3.97
12071,ARC,300 X 150,WHITE,1.53,2,12,6
12072,ARC,300 X 150,RED,1.55,2,12,6
12073,ARC,300 X 150,GREY,1.58,2,12,6
12074,ARC,300 X 150,ORANGE,1.44,2,12,6
12081,VERTICAL WAVE,300 X 150,WHITE,1.6,2,12,6
12082,VERTICAL WAVE,300 X 150,RED,1.5,2,12,6
12083,VERTICAL WAVE,300 X 150,GREY,1.6,2,12,6
12084,VERTICAL WAVE,300 X 150,ORANGE,1.5,2,12,6
