CODE,NAME,DIMENSIONS( MM),COLOUR,WEIGHT / Pcs ( KG),NO OF PIECES PER SQUARE FOOT,NO OF PIECES IN BOX,SQFT IN BOX
13001,VERONA,198 X 99,WHITE,0.47,4.76,20,4.2
13002,VERONA,198 X 99,RED,0.5,4.76,20,4.2
13003,VERONA,198 X 99,GREY,0.48,4.76,20,4.2
13004,VERONA,198 X 99,ORANGE,0.43,4.76,20,4.2
13005,VERONA,198 X 99,BROWN,0.5,4.76,20,4.2
13011,NATURA,266 X 99,WHITE,0.71,3.5,20,5.26
13012,NATURA,266 X 99,RED,0.73,3.5,20,5.26
13013,NATURA,266 X 99,GREY,0.7,3.5,20,5.26
13021,FLORINA,127 X 128,WHITE,0.25,4.76,20,4.2
13022,FLORINA,128 X 128,RED,0.26,4.76,20,4.2
13023,FLORINA,129 X 128,GREY,0.26,4.76,20,4.2
13024,FLORINA,130 X 128,ORANGE,0.24,4.76,20,4.2
13025,FLORINA,131 X 128,BROWN,0.25,4.76,20,4.2
13031,OLYMIA,266 X 99,WHITE,0.8,3.51,20,5.7
13033,OLYMIA,267 X 99,GREY,0.74,3.51,20,5.7
13034,OLYMIA,268 X 99,ORANGE,0.74,3.51,20,5.7
13035,OLYMIA,269 X 99,BROWN,0.83,3.51,20,5.7
13041,RIVOLI,300 X 147,WHITE,1.2,2.1,16,7.6
13042,RIVOLI,301 X 147,RED,1.1,2.1,16,7.6
13043,RIVOLI,302 X 147,GREY,1.1,2.1,16,7.6
13044,RIVOLI,303 X 147,ORANGE,1,2.1,16,7.6
13045,RIVOLI,304 X 147,BROWN,1.2,2.1,16,7.6
13051,SOFIA,221 X 73,WHITE,0.35,5.71,40,7
13052,SOFIA,222 X 73,RED,0.35,5.71,40,7
13053,SOFIA,223 X 73,GREY,0.37,5.71,40,7
13054,SOFIA,224 X 73,ORANGE,0.34,5.71,40,7
13055,SOFIA,225 X 73,BROWN,0.36,5.71,40,7
13061,SPARK,225 X 75,WHITE,0.44,5.33,30,5.6
13062,SPARK,226 X 75,RED,0.46,5.33,30,5.6
13063,SPARK,227 X 75,GREY,0.47,5.33,30,5.6
13064,SPARK,228 X 75,ORANGE,0.43,5.33,30,5.6
13065,SPARK,229 X 75,OLIVE,0.46,5.33,30,5.6
13071,ONIX,221 X 37,WHITE,0.69,3.51,20,5.69
13072,ONIX,222 X 37,RED,0.67,3.51,20,5.69
13073,ONIX,223 X 37,GREY,0.69,3.51,20,5.69
13074,ONIX,224 X 37,ORANGE,0.65,3.51,20,5.69
13075,ONIX,225 X 37,BROWN,0.67,3.51,20,5.69
13081,DIAMOND,200 X 100,WHITE,0.43,4.65,30,6.46
13082,DIAMOND,201 X 100,RED,0.43,4.65,30,6.46
13083,DIAMOND,202 X 100,GREY,0.45,4.65,30,6.46
13084,DIAMOND,203 X 100,ORANGE,0.42,4.65,30,6.46
13085,DIAMOND,204 X 100,BROWN,0.46,4.65,30,6.46
13091,CORAL,221 X 73,WHITE,0.4,5.71,40,7
13092,CORAL,221 X 73,RED,0.4,5.71,40,7
13093,CORAL,221 X 73,GREY,0.4,5.71,40,7
13094,CORAL,221 X 73,BROWN,0.4,5.71,40,7
13101,STRIP,300 X 75,WHITE,0.49,4,30,7.5
13102,STRIP,300 X 75,RED,0.51,4,30,7.5
13103,STRIP,300 X 75,GREY,0.53,4,30,7.5
13104,STRIP,300 X 75,ORANGE,0.52,4,30,7.5
13111,HEXA,-,WHITE,1.1,2.6,14,5.38
13112,HEXA,-,RED,1.2,2.6,14,5.38
13113,HEXA,-,GREY,1.2,2.6,14,5.38
13114,HEXA,-,ORANGE,1.2,2.6,14,5.38
13115,HEXA,-,BROWN,1.1,2.6,14,5.38
13121,STONE,250 X 125,WHITE,1.02,2.88,16,5.5
13122,STONE,250 X 125,RED,0.94,2.88,16,5.5
13123,STONE,250 X 125,GREY,0.93,2.88,16,5.5
13124,STONE,250 X 125,ORANGE,0.87,2.88,16,5.5
13125,STONE,250 X 125,BROWN,0.93,2.88,16,5.5
13131,RUSTIC,215 X 75,WHITE,0.32,5.78,40,6.9
13132,RUSTIC,215 X 75,RED,0.32,5.78,40,6.9
13133,RUSTIC,215 X 75,GREY,0.34,5.78,40,6.9
13134,RUSTIC,215 X 75,ORANGE,0.36,5.78,40,6.9
13135,RUSTIC,215 X 75,BROWN,0.37,5.78,40,6.9
13141,EMILIA STONE,215 X 60,WHITE,0.29,7.24,40,5.52
13142,EMILIA STONE,215 X 60,RED,0.28,7.24,40,5.52
13143,EMILIA STONE,215 X 60,GREY,0.31,7.24,40,5.52
13144,EMILIA STONE,215 X 60,ORANGE,0.34,7.24,40,5.52
13145,EMILIA STONE,215 X 60,BROWN,0.31,7.24,40,5.52
13151,BRICK ,480 X 170,WHITE,2.7,1.13,6,5.3
13152,BRICK ,480 X 170,RED,2.6,1.13,6,5.3
13153,BRICK ,480 X 170,GREY,2.6,1.13,6,5.3
13154,BRICK ,480 X 170,ORANGE,2.6,1.13,6,5.3
13155,BRICK ,480 X 170,YELLOW,2.7,1.13,6,5.3
13156,BRICK ,480 X 170,BROWN,2.9,1.13,6,5.3
