CODE,PRODUCT NAME,DIMENSIONS,COLOUR,WEIGHT( KG),PER BOX QTY,DESCRIPTION,IMAGE,,,,
10101,TEMPLE,200MM*200MM*60MM,RED ,3.3,5,DOUBLE  SIDE FINISH,,,,,
10102,TEMPLE,200MM*200MM*60MM,WHITE,3.4,5,DOUBLE  SIDE FINISH,,,,,
10103,TEMPLE,200MM*200MM*60MM,GREY,3.2,5,DOUBLE  SIDE FINISH,,,,,
10104,TEMPLE,200MM*200MM*60MM,ORANGE,3.2,5,DOUBLE  SIDE FINISH,,,,,
10111,PETAL,200MM*200MM*60MM,RED ,2.7,5,DOUBLE  SIDE FINISH,,,,,
10112,PETAL,200MM*200MM*60MM,WHITE,2.7,5,DOUBLE  SIDE FINISH,,,,,
10113,PETAL,200MM*200MM*60MM,GREY,2.6,5,DOUBLE  SIDE FINISH,,,,,
10114,PETAL,200MM*200MM*60MM,ORANGE,2.6,5,DOUBLE  SIDE FINISH,,,,,
10121,AMBER,200MM*200MM*60MM,RED ,3.1,5,DOUBLE  SIDE FINISH,,,,,
10122,AMBER,200MM*200MM*60MM,WHITE,3.1,5,DOUBLE  SIDE FINISH,,,,,
10123,AMBER,200MM*200MM*60MM,GREY,3,5,DOUBLE  SIDE FINISH,,,,,
10124,AMBER,200MM*200MM*60MM,ORANGE,3.1,5,DOUBLE  SIDE FINISH,,,,,
10131,OPEL,200MM*200MM*60MM,RED ,2.9,5,DOUBLE  SIDE FINISH,,,,,
10132,OPEL,200MM*200MM*60MM,WHITE,2.9,5,DOUBLE  SIDE FINISH,,,,,
10133,OPEL,200MM*200MM*60MM,GREY,2.8,5,DOUBLE  SIDE FINISH,,,,,
10134,OPEL,200MM*200MM*60MM,ORANGE,2.8,5,DOUBLE  SIDE FINISH,,,,,
10141,THE X -FACTOR,200MM*200MM*60MM,RED ,2.6,5,DOUBLE  SIDE FINISH,,,,,
10142,THE X -FACTOR,200MM*200MM*60MM,WHITE,2.6,5,DOUBLE  SIDE FINISH,,,,,
10143,THE X -FACTOR,200MM*200MM*60MM,GREY,2.5,5,DOUBLE  SIDE FINISH,,,,,
10144,THE X -FACTOR,200MM*200MM*60MM,ORANGE,2.5,5,DOUBLE  SIDE FINISH,,,,,
10151,ROMAN,200MM*200MM*60MM,RED ,3.3,5,DOUBLE  SIDE FINISH,,,,,
10152,ROMAN,200MM*200MM*60MM,WHITE,3.3,5,DOUBLE  SIDE FINISH,,,,,
10153,ROMAN,200MM*200MM*60MM,GREY,3,5,DOUBLE  SIDE FINISH,,,,,
10154,ROMAN,200MM*200MM*60MM,ORANGE,3.1,5,DOUBLE  SIDE FINISH,,,,,
10161,5 SIDE BEAUITY,200MM*200MM*60MM,RED ,3,5,DOUBLE  SIDE FINISH,,,,,p
10162,5 SIDE BEAUITY,200MM*200MM*60MM,WHITE,3.1,5,DOUBLE  SIDE FINISH,,,,,
10163,5 SIDE BEAUITY,200MM*200MM*60MM,GREY,2.9,5,DOUBLE  SIDE FINISH,,,,,
10164,5 SIDE BEAUITY,200MM*200MM*60MM,ORANGE,2.9,5,DOUBLE  SIDE FINISH,,,,,
10171,SLICE NEW,200MM*200MM*60MM,RED ,3.5,5,DOUBLE  SIDE FINISH,,,,,
10172,SLICE NEW,200MM*200MM*60MM,WHITE,3.4,5,DOUBLE  SIDE FINISH,,,,,
10173,SLICE NEW,200MM*200MM*60MM,GREY,3.3,5,DOUBLE  SIDE FINISH,,,,,
10174,SLICE NEW,200MM*200MM*60MM,ORANGE,3.3,5,DOUBLE  SIDE FINISH,,,,,
10181,3D CORNER SQUARE,200MM*200MM*60MM,RED ,3.5,5,DOUBLE  SIDE FINISH,,,,,
10182,3D CORNER SQUARE,200MM*200MM*60MM,WHITE,3.5,5,DOUBLE  SIDE FINISH,,,,,
10183,3D CORNER SQUARE,200MM*200MM*60MM,GREY,3.3,5,DOUBLE  SIDE FINISH,,,,,
10184,3D CORNER SQUARE,200MM*200MM*60MM,ORANGE,3.3,5,DOUBLE  SIDE FINISH,,,,,
10191,3D TWO LINING,200MM*200MM*60MM,RED ,3,5,DOUBLE  SIDE FINISH,,,,,
10192,3D TWO LINING,200MM*200MM*60MM,WHITE,3,5,DOUBLE  SIDE FINISH,,,,,
10193,3D TWO LINING,200MM*200MM*60MM,GREY,3,5,DOUBLE  SIDE FINISH,,,,,
10194,3D TWO LINING,200MM*200MM*60MM,ORANGE,3,5,DOUBLE  SIDE FINISH,,,,,
10201,SLICE,200MM*200MM*60MM,RED ,2.8,5,DOUBLE  SIDE FINISH,,,,,
10202,SLICE,200MM*200MM*60MM,WHITE,2.8,5,DOUBLE  SIDE FINISH,,,,,
10203,SLICE,200MM*200MM*60MM,GREY,2.6,5,DOUBLE  SIDE FINISH,,,,,
10204,SLICE,200MM*200MM*60MM,ORANGE,2.7,5,DOUBLE  SIDE FINISH,,,,,
10211,POST OFFICE,200MM*200MM*60MM,RED ,3.6,5,DOUBLE  SIDE FINISH,,,,,
10212,POST OFFICE,200MM*200MM*60MM,WHITE,3.6,5,DOUBLE  SIDE FINISH,,,,,
10213,POST OFFICE,200MM*200MM*60MM,GREY,3.4,5,DOUBLE  SIDE FINISH,,,,,
10214,POST OFFICE,200MM*200MM*60MM,ORANGE,3.4,5,DOUBLE  SIDE FINISH,,,,,
10221,LINING,300MM*100MM*60MM,RED ,1.8,5,DOUBLE  SIDE FINISH,,,,,
10222,LINING,300MM*100MM*60MM,WHITE,1.8,5,DOUBLE  SIDE FINISH,,,,,
10223,LINING,300MM*100MM*60MM,GREY,1.8,5,DOUBLE  SIDE FINISH,,,,,
10224,LINING,300MM*100MM*60MM,ORANGE,1.7,5,DOUBLE  SIDE FINISH,,,,,
10231,CAPSULE,300MM*100MM*60MM,RED ,2.3,5,DOUBLE  SIDE FINISH,,,,,
10232,CAPSULE,300MM*100MM*60MM,WHITE,2.2,5,DOUBLE  SIDE FINISH,,,,,
10233,CAPSULE,300MM*100MM*60MM,GREY,2.2,5,DOUBLE  SIDE FINISH,,,,,
